timestamp,open,high,low,close,volume

2024-07-12,182.0150,186.9900,179.6900,181.6100,50827368

2024-07-11,184.0700,187.1100,177.2500,181.9400,59231412

2024-07-10,179.9900,187.2800,177.8000,183.9600,90246965

2024-07-09,177.9700,180.4100,174.7000,177.1000,43471169

2024-07-08,174.9000,178.9500,173.2200,178.6900,60223422

2024-07-05,165.9700,174.0396,165.6800,171.9000,61857052

2024-07-03,164.2000,165.2600,162.5100,163.9000,26980906

2024-07-02,157.0400,164.5800,156.7000,164.3100,57838610

2024-07-01,161.2500,161.5068,153.6400,157.6900,50436691

2024-06-28,160.2300,166.4500,159.4100,162.2100,56204617

2024-06-27,157.1800,160.6100,156.8100,159.4700,34018216

2024-06-26,160.6000,160.7400,156.0000,157.5400,36973440

2024-06-25,160.7300,161.0000,156.4500,160.2500,40975277

2024-06-24,159.7500,163.4000,158.1900,160.2500,45954054

2024-06-21,161.7500,163.2000,157.8900,161.2300,61334699

2024-06-20,155.8250,166.8200,155.5000,161.7800,93245732

2024-06-18,156.9900,157.2400,153.3400,154.6300,51852033

2024-06-17,158.0000,159.2300,154.1350,158.4000,44507742

2024-06-14,158.5000,161.3399,157.6100,159.6300,34054023

2024-06-13,160.4000,162.6600,157.3100,159.9000,44442511

2024-06-12,160.3200,162.2400,158.6200,160.2400,48325813

2024-06-11,160.5000,161.5400,156.9200,158.9600,40497092

2024-06-10,162.4800,165.5500,159.6100,160.3400,67575627

2024-06-07,166.5900,169.4500,165.8600,167.8700,44795998

2024-06-06,165.4600,169.5100,163.8600,166.7800,47153676

2024-06-05,162.0700,167.1200,161.3800,166.1700,60507494

2024-06-04,162.8400,164.8300,158.8729,159.9900,48157209

2024-06-03,170.8200,171.0800,160.9101,163.5500,59157590

2024-05-31,166.6500,169.5000,160.0700,166.9000,64331946

2024-05-30,167.9000,168.7469,163.8000,166.7500,46479934

2024-05-29,167.4600,168.4800,162.9100,165.1400,56537503

2024-05-28,169.4200,174.5500,164.9600,171.6100,66495414

2024-05-24,161.4120,167.6600,160.2500,166.3600,54868646

2024-05-23,170.1800,173.1400,158.2700,160.4300,91888841

2024-05-22,167.4100,169.8148,163.8600,165.5200,47426719

2024-05-21,164.0000,165.8300,163.1000,164.6600,30005478

2024-05-20,165.5500,168.4900,164.4700,166.3300,45618044

2024-05-17,168.4300,169.7200,162.3200,164.4700,65944362

2024-05-16,160.9200,168.0600,159.9000,162.6200,76726728

2024-05-15,155.5880,159.6900,154.7000,159.6700,43195901

2024-05-14,150.4300,153.4879,148.7800,153.1600,31938277

2024-05-13,151.2800,153.3300,150.4000,150.5600,27859183

2024-05-10,154.2874,156.3700,151.3100,151.9200,37652770

2024-05-09,153.1300,154.0920,150.6100,152.3900,33017962

2024-05-08,153.4000,155.3300,152.5200,153.6200,28727963

2024-05-07,156.3200,157.7000,153.6600,154.4300,37374906

2024-05-06,153.1000,156.6500,151.2600,155.7800,44624546

2024-05-03,148.7500,150.7900,147.2384,150.6000,49361081

2024-05-02,145.5100,147.6200,141.1550,146.1600,50034730

2024-05-01,148.1100,151.3700,142.1400,144.2700,89413168

2024-04-30,160.6300,162.2900,158.3500,158.3800,60742834

2024-04-29,159.0800,160.7700,156.2600,160.2000,43478221

2024-04-26,154.2400,158.6300,153.4252,157.4000,42510708

2024-04-25,149.1500,155.1400,146.7500,153.7600,41471423

2024-04-24,156.5600,157.6598,150.6300,151.7400,43412550

2024-04-23,151.6500,153.4950,150.3500,152.2700,46051911

2024-04-22,148.1500,149.8900,145.6300,148.6400,49397034

2024-04-19,151.5900,154.2500,145.2900,146.6400,71618197

2024-04-18,155.5100,156.9600,152.3200,155.0800,52669816

2024-04-17,163.9700,164.4500,153.8800,154.0200,75908969

2024-04-16,162.2800,164.8799,161.6700,163.4600,55302100

2024-04-15,164.4300,164.4400,158.7600,160.3200,61461150

2024-04-12,164.5300,165.7000,161.8250,163.2800,63519643

2024-04-11,167.5450,170.9499,166.5492,170.5000,48994531

2024-04-10,166.7100,169.7752,164.0000,167.1400,59599958

2024-04-09,170.2100,171.6000,167.2900,170.7800,42808628

2024-04-08,168.2000,171.6599,166.8200,169.9000,43732720

2024-04-05,168.1000,172.6900,165.5800,170.4200,65810538

2024-04-04,182.9200,183.0200,165.6500,165.8300,87098676

2024-04-03,177.5400,182.0500,176.7000,180.7700,49681014

2024-04-02,179.4700,180.1000,174.8300,178.7000,61256416

2024-04-01,180.1000,187.2400,179.9000,183.3400,73463638

2024-03-28,179.4700,183.4000,178.3000,180.4900,57628614

2024-03-27,179.9600,181.2300,175.4000,179.5900,55685645

2024-03-26,179.5400,182.5983,176.3300,177.8700,65322445

2024-03-25,172.9000,182.8000,172.0000,178.6300,71935313

2024-03-22,177.2100,180.7600,175.0500,179.6500,57899071

2024-03-21,185.9700,187.6900,177.6600,178.6800,75265596

2024-03-20,182.0300,182.6800,174.0000,179.7300,81773114

2024-03-19,183.1600,185.6127,177.3602,181.4200,83509459

2024-03-18,193.2850,193.5000,188.0500,190.6500,59306865

2024-03-15,184.8300,193.7999,184.4800,191.0600,95289509

2024-03-14,192.9200,196.9300,184.0300,187.0600,83079474

2024-03-13,198.7300,198.8300,192.7001,194.7900,68877581

2024-03-12,200.5200,202.8499,194.2700,202.7600,67922120

2024-03-11,203.0100,203.5500,196.7000,198.3900,72435560

2024-03-08,213.4100,227.3000,205.6000,207.3900,120815222

2024-03-07,212.5200,213.8300,208.2200,211.3800,63869038

2024-03-06,210.4300,214.8109,207.3200,210.6300,86686987

2024-03-05,200.5000,205.3300,199.1500,205.1300,65407112

2024-03-04,205.1600,211.0100,203.5000,205.3600,86835338

2024-03-01,197.9100,202.7200,195.4200,202.6400,103820773

2024-02-29,179.8200,193.0000,179.8200,192.5300,105538483

2024-02-28,176.2500,176.8400,173.5900,176.5400,35914414

2024-02-27,175.9200,178.4600,172.4900,178.0000,43665241

2024-02-26,178.7800,179.8400,174.8100,176.0100,45435093

2024-02-23,181.8600,183.8000,174.5500,176.5200,69207367

2024-02-22,173.2000,183.8300,172.0000,181.8600,100684733

2024-02-21,162.7400,164.9000,161.8100,164.2900,48774556

2024-02-20,171.1400,171.8100,162.0000,165.6900,66549992

